,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Found
bilma,89.0,NE,1566660536.0,30.0,18.69,12.92,308.273,2.2,true
moroni,20.0,GR,1566660536.0,69.0,35.09,24.92,305.93,7.7,true
illela,90.0,NG,1566660536.0,57.0,12.25,4.3,303.773,4.62,true
yuryevets,100.0,RU,1566660536.0,89.0,57.32,43.11,288.573,3.16,true
itarema,0.0,BR,1566660537.0,32.0,-2.92,-39.92,307.273,5.55,true
copiapo,90.0,CL,1566660375.0,76.0,-27.37,-70.33,286.15,1.0,true
esperance,75.0,AU,1566660537.0,75.0,-33.86,121.89,281.15,2.6,true
kologriv,100.0,RU,1566660537.0,94.0,58.83,44.31,286.673,3.89,true
pauini,28.0,BR,1566660537.0,33.0,-7.71,-67.0,307.473,1.38,true
davila,90.0,PH,1566660537.0,83.0,18.47,120.58,299.15,3.6,true
tayzhina,2.0,RU,1566660538.0,90.0,53.67,87.44,285.973,3.2,true
port hardy,90.0,CA,1566660538.0,100.0,50.7,-127.42,286.15,1.5,true
kathu,0.0,ZA,1566660538.0,10.0,-27.7,23.05,298.71,4.17,true
roald,40.0,NO,1566660538.0,72.0,62.58,6.12,293.15,1.5,true
ewa beach,40.0,US,1566660538.0,83.0,21.32,-158.01,300.15,1.5,true
izobilnyy,0.0,RU,1566660323.0,39.0,45.37,41.71,303.15,4.0,true
powell river,90.0,CA,1566660538.0,100.0,49.84,-124.52,289.82,1.0,true
akdagmadeni,7.0,TR,1566660539.0,42.0,39.66,35.88,299.073,6.97,true
saskylakh,77.0,RU,1566660539.0,88.0,71.97,114.09,281.473,2.34,true
arlit,65.0,NE,1566660539.0,30.0,18.74,7.39,309.173,3.88,true
santa cruz,16.0,BR,1566660398.0,32.0,-6.22,-36.02,305.173,5.59,true
anan,90.0,JP,1566660539.0,83.0,33.91,134.64,296.15,2.6,true
batemans bay,0.0,AU,1566660539.0,51.0,-35.71,150.18,286.48,1.34,true
port blair,100.0,IN,1566660540.0,82.0,11.67,92.75,300.973,10.58,true
mahe,75.0,IN,1566660540.0,94.0,11.7,75.54,299.15,1.47,true
eureka,75.0,US,1566660495.0,87.0,40.8,-124.16,287.04,6.78,true
kamenka,69.0,MD,1566660540.0,46.0,48.03,28.7,300.93,1.34,true
amurzet,94.0,CN,1566660540.0,96.0,47.69,131.09,286.873,0.76,true
svetlogorsk,100.0,RU,1566660540.0,37.0,53.14,59.15,292.15,4.0,true
lakatoro,54.0,VU,1566660541.0,70.0,-16.11,167.42,295.573,5.2,true
torbay,90.0,CA,1566660541.0,82.0,47.66,-52.73,289.15,8.2,true
zelenets,0.0,RU,1566660541.0,61.0,53.83,48.02,291.973,1.78,true
taos,1.0,US,1566660541.0,45.0,36.41,-105.57,291.48,3.1,true
avera,90.0,US,1566660541.0,94.0,33.19,-82.53,300.15,2.6,true
margate,75.0,AU,1566660258.0,65.0,-43.03,147.26,280.15,5.1,true
launceston,90.0,AU,1566660076.0,81.0,-41.43,147.14,280.93,2.1,true
leningradskiy,54.0,RU,1566660542.0,86.0,69.38,178.42,277.973,2.55,true
harboore,6.0,DK,1566660542.0,50.0,56.62,8.18,299.15,3.1,true
christchurch,0.0,NZ,1566660375.0,87.0,-43.53,172.64,276.48,1.0,true
buala,100.0,SB,1566660542.0,83.0,-8.15,159.59,299.673,4.94,true
ancud,90.0,CL,1566660542.0,87.0,-41.87,-73.83,282.15,4.1,true
zaraza,0.0,VE,1566660542.0,71.0,9.35,-65.33,301.973,2.51,true
fukue,75.0,JP,1566660543.0,74.0,35.03,136.69,299.15,7.7,true
ust-kuyga,24.0,RU,1566660543.0,91.0,70.0,135.55,283.773,1.6,true
hermiston,1.0,US,1566660543.0,46.0,45.84,-119.29,297.59,6.7,true
labuan,75.0,BN,1566660543.0,83.0,5.28,115.24,302.15,4.23,true
nisia floresta,40.0,BR,1566660543.0,55.0,-6.09,-35.21,303.15,8.2,true
reyes,0.0,BO,1566660544.0,48.0,-14.3,-67.34,303.15,0.8,true
komsomolskiy,93.0,RU,1566660544.0,65.0,67.55,63.78,281.873,3.96,true
lagoa,0.0,PT,1566660544.0,42.0,37.14,-8.45,303.71,4.1,true
tyukalinsk,53.0,RU,1566660544.0,54.0,55.87,72.2,291.273,5.25,true
yuncheng,95.0,CN,1566660545.0,69.0,35.03,111.0,298.673,4.76,true
coquimbo,90.0,CL,1566660545.0,81.0,-29.95,-71.34,285.15,4.1,true
peace river,75.0,CA,1566660545.0,87.0,56.23,-117.29,284.26,2.6,true
touros,40.0,BR,1566660362.0,58.0,-5.2,-35.46,303.15,6.2,true
talaya,20.0,RU,1566660545.0,82.0,55.79,84.89,290.15,4.0,true
camacha,20.0,PT,1566660545.0,69.0,33.08,-16.33,302.15,7.2,true
sarangani,96.0,PH,1566660545.0,77.0,5.4,125.46,301.273,3.04,true
almaznyy,20.0,RU,1566660546.0,28.0,48.03,40.04,307.15,6.0,true
linxia,89.0,CN,1566660546.0,90.0,35.6,103.21,286.273,0.72,true
batagay,9.0,RU,1566660546.0,66.0,67.65,134.64,285.673,0.92,true
baft,0.0,IR,1566660546.0,18.0,29.23,56.61,289.873,5.27,true
tres arroyos,100.0,AR,1566660546.0,55.0,-38.38,-60.28,288.673,6.39,true
conakry,62.0,GN,1566660547.0,85.0,9.52,-13.7,298.973,6.88,true
lamu,8.0,CN,1566660547.0,90.0,35.77,102.37,284.573,1.12,true
kotido,76.0,UG,1566660547.0,53.0,3.01,34.12,298.773,3.08,true
marsh harbour,91.0,BS,1566660529.0,79.0,26.54,-77.06,301.673,7.58,true
macon,1.0,US,1566660469.0,74.0,32.84,-83.63,300.15,2.6,true
gerash,0.0,IR,1566660547.0,22.0,27.67,54.14,309.15,5.1,true
ambilobe,75.0,MG,1566660547.0,74.0,-13.19,49.05,297.773,2.46,true
westport,1.0,US,1566660547.0,40.0,41.14,-73.36,296.48,4.1,true
huejuquilla el alto,96.0,MX,1566660548.0,83.0,22.63,-103.9,291.673,0.52,true
oranjestad,20.0,AW,1566660432.0,66.0,12.52,-70.03,304.15,12.3,true
tual,2.0,ID,1566660548.0,83.0,-5.67,132.75,297.873,8.26,true
novikovo,0.0,RU,1566660548.0,50.0,51.15,37.89,295.773,2.69,true
korcula,40.0,HR,1566660548.0,26.0,42.96,17.14,308.15,4.6,true
tocopilla,0.0,CL,1566660549.0,83.0,-22.09,-70.2,286.473,2.88,true
hantsport,75.0,CA,1566660549.0,64.0,45.06,-64.18,295.37,7.7,true
ternate,90.0,PH,1566660549.0,94.0,14.29,120.72,302.59,1.0,true
constantine,40.0,DZ,1566660549.0,51.0,36.36,6.61,302.15,6.2,true
hohhot,0.0,CN,1566660549.0,77.0,40.81,111.65,290.15,2.0,true
choya,0.0,RU,1566660549.0,93.0,52.01,86.55,284.273,2.32,true
semey,0.0,KZ,1566660549.0,41.0,50.41,80.25,292.973,2.18,true
tecoanapa,40.0,MX,1566660550.0,74.0,16.99,-99.26,301.15,2.1,true
tiarei,0.0,PF,1566660550.0,83.0,-17.53,-149.33,295.15,1.5,true
bonthe,99.0,SL,1566660550.0,75.0,7.53,-12.5,300.273,5.45,true
shaoyang,32.0,CN,1566660550.0,84.0,27.23,111.45,296.973,1.58,true
aquiraz,20.0,BR,1566660438.0,45.0,-3.9,-38.39,304.15,9.8,true
narsaq,75.0,GL,1566660550.0,48.0,60.91,-46.05,283.15,1.5,true
tarakan,78.0,ID,1566660550.0,80.0,3.3,117.63,300.373,1.75,true
sinnamary,69.0,GF,1566660551.0,71.0,5.38,-52.96,301.473,4.49,true
hazorasp,0.0,UZ,1566660551.0,50.0,41.32,61.08,297.15,3.1,true
wad rawah,6.0,SD,1566660551.0,39.0,15.16,33.13,306.873,1.71,true
barcelona,0.0,ES,1566659698.0,61.0,41.38,2.18,304.82,4.6,true
srednekolymsk,55.0,RU,1566660551.0,54.0,67.46,153.71,288.773,3.36,true
oriximina,0.0,BR,1566660551.0,51.0,-1.77,-55.87,304.773,2.88,true
constitucion,75.0,MX,1566660552.0,68.0,23.99,-104.67,291.48,2.6,true
kawalu,92.0,ID,1566660552.0,92.0,-7.38,108.21,291.973,1.15,true
turbaco,20.0,CO,1566660552.0,70.0,10.33,-75.41,306.15,1.5,true
nabire,88.0,ID,1566660552.0,98.0,-3.36,135.5,292.973,1.58,true
ucluelet,90.0,CA,1566660552.0,100.0,48.94,-125.55,288.15,0.15,true
sawtell,0.0,AU,1566660552.0,87.0,-30.38,153.1,284.15,2.1,true
salalah,40.0,OM,1566660553.0,94.0,17.01,54.1,299.15,3.1,true
aviles,75.0,ES,1566660553.0,77.0,43.55,-5.92,294.26,3.1,true
praia,40.0,BR,1566660553.0,41.0,-20.25,-43.81,298.15,3.6,true
lithgow,0.0,AU,1566660553.0,59.0,-33.48,150.16,284.82,5.16,true
ratnagiri,0.0,IN,1566660553.0,81.0,16.98,73.3,300.673,5.79,true
totolapa,40.0,MX,1566660554.0,74.0,20.56,-97.48,304.15,5.1,true
taketa,100.0,JP,1566660554.0,92.0,32.97,131.38,290.93,0.5,true
hobyo,88.0,SO,1566660554.0,70.0,5.35,48.53,299.673,11.78,true
high rock,75.0,BS,1566660554.0,74.0,26.63,-78.28,303.15,5.7,true
ashland,1.0,US,1566660554.0,68.0,38.48,-82.64,297.59,2.1,true
waitara,81.0,NZ,1566660554.0,79.0,-39.0,174.24,282.04,10.28,true
shimoda,95.0,JP,1566660555.0,3.0,34.7,138.93,299.82,0.89,true
viladecans,0.0,ES,1566660555.0,65.0,41.32,2.02,304.82,4.1,true
birjand,0.0,IR,1566660555.0,8.0,32.86,59.22,300.15,5.1,true
homer,1.0,US,1566660555.0,100.0,59.64,-151.54,283.15,1.5,true
bud,75.0,NO,1566660555.0,82.0,62.91,6.91,292.15,1.0,true
seoul,1.0,KR,1566660382.0,94.0,37.57,126.98,295.15,1.0,true
gorontalo,47.0,ID,1566660555.0,92.0,0.54,123.06,295.873,1.62,true
tikrit,0.0,IQ,1566660556.0,11.0,34.62,43.68,314.473,4.83,true
pochutla,20.0,MX,1566660556.0,70.0,15.74,-96.47,303.15,1.19,true
saquena,1.0,PE,1566660556.0,58.0,-4.67,-73.52,303.973,1.04,true
konza,75.0,KE,1566660556.0,68.0,-1.74,37.13,293.15,4.6,true
grevesmuhlen,0.0,DE,1566660556.0,57.0,53.87,11.18,301.48,5.7,true
mogadishu,75.0,SO,1566660557.0,74.0,2.04,45.34,300.15,7.7,true
haukipudas,20.0,FI,1566660557.0,59.0,65.17,25.5,290.37,6.2,true
lubumbashi,33.0,CD,1566660361.0,17.0,-11.66,27.48,301.473,1.6,true
port macquarie,0.0,AU,1566660557.0,100.0,-31.43,152.91,282.15,1.5,true
zambezi,100.0,ZM,1566660557.0,13.0,-13.55,23.12,301.973,2.48,true
nizhniy kuranakh,76.0,RU,1566660557.0,91.0,58.84,125.49,285.173,0.5,true
chateaubelair,40.0,VC,1566660558.0,74.0,13.28,-61.25,304.82,1.5,true
nuuk,20.0,GL,1566660558.0,70.0,64.17,-51.74,282.15,3.1,true
karasjok,75.0,NO,1566660558.0,70.0,69.47,25.52,282.15,3.6,true
jinji,100.0,CN,1566660558.0,85.0,22.16,112.49,300.873,1.55,true
belyy yar,40.0,RU,1566660558.0,87.0,53.6,91.39,287.15,4.0,true
khandyga,100.0,RU,1566660558.0,95.0,62.65,135.58,286.673,1.16,true
maromitsa,100.0,RU,1566660352.0,97.0,59.87,48.01,284.573,4.25,true
coihaique,90.0,CL,1566660559.0,100.0,-45.58,-72.07,279.15,1.5,true
vao,96.0,EE,1566660559.0,61.0,59.1,26.19,291.273,4.91,true
halifax,75.0,CA,1566660454.0,64.0,44.65,-63.58,294.26,7.7,true
saint pete beach,90.0,US,1566660559.0,74.0,27.73,-82.74,304.82,2.1,true
cherskiy,3.0,RU,1566660559.0,51.0,68.75,161.3,284.973,2.12,true
kailua,75.0,US,1566660559.0,69.0,21.39,-157.74,300.15,2.6,true
kirakira,100.0,SB,1566660559.0,87.0,-10.46,161.92,298.473,4.73,true
port lincoln,42.0,AU,1566660560.0,60.0,-34.72,135.86,284.573,5.78,true
fenoarivo,20.0,MG,1566660560.0,59.0,-18.93,47.44,290.15,5.7,true
okakarara,0.0,NA,1566660560.0,11.0,-20.59,17.46,298.373,6.14,true
baykit,57.0,RU,1566660560.0,79.0,61.68,96.39,283.673,0.66,true
wanning,75.0,AT,1566660560.0,51.0,48.64,13.53,303.15,4.6,true
mayskiy,90.0,RU,1566660560.0,39.0,43.63,44.06,304.82,3.0,true
lasa,20.0,CY,1566660326.0,74.0,34.92,32.53,304.15,5.1,true
yerbogachen,100.0,RU,1566660561.0,95.0,61.28,108.01,284.973,0.79,true
ahipara,100.0,NZ,1566660561.0,100.0,-35.17,173.16,283.71,0.45,true
rock hill,90.0,US,1566660295.0,100.0,34.92,-81.03,294.82,4.6,true
butterworth,75.0,MY,1566660561.0,94.0,5.4,100.37,299.15,1.5,true
la rioja,0.0,AR,1566660561.0,41.0,-29.41,-66.86,289.173,2.77,true
wasilla,1.0,US,1566660561.0,93.0,61.58,-149.44,283.15,2.1,true
palmer,20.0,AU,1566660562.0,87.0,-34.85,139.16,281.48,2.6,true
tarko-sale,9.0,RU,1566660562.0,90.0,64.92,77.78,285.93,2.61,true
shubarshi,73.0,KZ,1566660562.0,20.0,48.59,57.19,301.173,1.98,true
bonavista,100.0,CA,1566660562.0,86.0,48.65,-53.11,285.93,3.13,true
kingsville,75.0,US,1566660478.0,79.0,27.52,-97.86,305.37,3.19,true
khovu-aksy,100.0,RU,1566660562.0,59.0,51.13,93.72,284.873,2.33,true
oum hadjer,14.0,TD,1566660563.0,45.0,13.3,19.7,305.673,0.91,true
yantzaza,20.0,EC,1566660563.0,36.0,-3.83,-78.76,300.15,6.2,true
foz,0.0,ES,1566660563.0,67.0,43.57,-7.26,302.59,4.92,true
santa isabel do rio negro,60.0,BR,1566660563.0,55.0,-0.41,-65.02,304.973,1.5,true
vidim,40.0,CZ,1566660563.0,57.0,50.47,14.53,301.48,3.1,true
eirunepe,0.0,BR,1566660564.0,42.0,-6.66,-69.87,307.873,0.35,true
mlalo,99.0,TZ,1566660564.0,93.0,-4.58,38.35,291.473,2.18,true
hofn,100.0,IS,1566660564.0,93.0,64.25,-15.21,277.773,7.87,true
parabel,5.0,RU,1566660564.0,86.0,58.71,81.5,287.973,4.41,true
lufilufi,0.0,WS,1566660564.0,88.0,-13.87,-171.6,297.04,3.58,true
longyan,100.0,CN,1566660564.0,82.0,25.1,117.03,296.773,2.78,true
kermanshah,0.0,IR,1566660360.0,5.0,34.32,47.07,307.15,7.2,true
san vicente de canete,86.0,PE,1566660565.0,85.0,-13.08,-76.38,288.373,2.85,true
aswan,0.0,EG,1566660565.0,13.0,24.09,32.9,313.15,4.6,true
necochea,100.0,AR,1566660565.0,61.0,-38.55,-58.74,288.71,5.36,true
sao gotardo,0.0,BR,1566660565.0,38.0,-19.31,-46.05,299.26,3.13,true
pierre,90.0,US,1566660565.0,88.0,44.37,-100.35,293.15,6.2,true
gizo,20.0,IL,1566660565.0,66.0,31.8,34.94,304.26,5.1,true
marystown,99.0,CA,1566660566.0,74.0,47.17,-55.16,289.273,7.35,true
asadabad,40.0,IR,1566660566.0,11.0,34.78,48.12,305.15,1.24,true
riwaka,0.0,NZ,1566660566.0,77.0,-41.08,173.0,282.59,0.45,true
cobh,75.0,IE,1566660566.0,82.0,51.85,-8.29,295.37,2.1,true
ende,80.0,ID,1566660566.0,76.0,-8.84,121.65,298.373,1.58,true
oktyabrskiy,0.0,RU,1566660566.0,46.0,55.61,37.97,297.04,4.0,true
carlos chagas,100.0,BR,1566660567.0,53.0,-17.7,-40.76,298.473,2.49,true
lichinga,40.0,MZ,1566660567.0,49.0,-13.3,35.25,295.15,5.7,true
sao filipe,62.0,CV,1566660567.0,81.0,14.9,-24.5,299.073,5.67,true
mandera,44.0,ET,1566660567.0,46.0,3.94,41.86,303.573,8.0,true
chik,0.0,RU,1566660567.0,60.0,54.99,82.44,293.15,4.0,true
umm lajj,0.0,SA,1566660568.0,72.0,25.02,37.27,303.873,2.86,true
bull savanna,0.0,JM,1566660568.0,71.0,17.89,-77.59,301.573,2.76,true
faya,75.0,SA,1566660568.0,36.0,18.39,42.45,298.15,2.1,true
safford,1.0,US,1566660568.0,54.0,32.83,-109.71,300.15,4.6,true
bichura,75.0,RU,1566660568.0,97.0,50.59,107.6,286.973,1.66,true
palmerston,40.0,AU,1566660568.0,83.0,-12.49,130.99,296.48,1.5,true
boo,100.0,NG,1566660569.0,87.0,7.44,8.9,298.573,1.07,true
nantucket,1.0,US,1566660378.0,64.0,41.28,-70.1,295.37,8.2,true
